"Опрашиваемый","Укажите Ваш пол","Какой напиток Вы предпочитаете утром?","Укажите Ваш возраст","Насколько здоровый образ жизни Вы ведете? 
Укажите число по шкале от 0 до 100","Курите ли Вы?","Укажите цвет Вашего левого глаза","Много ли Вы испытываете стресса в жизни? Укажите число от 0 до 100","Вы высыпаетесь?","Укажите Ваш хронотип","Во сколько Вы обычно просыпаетесь? Укажите время в формате ""Час"" и ""Минуты""","Сколько Вы в среднем спите? Укажите среди время вашего сна","Если поблизости с Вашим домом кофейня?","Вы являетесь гурманом?","Вы работаете из офиса?","Вы домосед?","У Вас есть хронические заболевания?","Какой рукой Вы пишите?","Какой у Вас знак зодиака?"
"1","Женщина","Кофе","22","65","Да","Серо-зеленый","55","Да","Жаворонок","8:00","8","Да","Да","Да","Нет","Нет","Правой","Козерог"
"2","Мужчина","Чай","21","85","Нет","Зеленый","70","Да","Жаворонок","6:00","8","Да","Нет","Нет","Нет","Нет","Левой","Стрелец"
"3","Мужчина","Кофе","22","50","Да","Голубой","70","Да","Сова","9:00","7","Да","Да","Нет","Да","Нет","Правой","Рак"
"4","Мужчина","Кофе","22","80","Да","Карий","60","Да","Сова","9:00","6","Да","Да","Нет","Нет","Да","Правой","Скорпион"
"5","Женщина","Кофе","23","50","Нет","Голубой","90","Нет","Сова","14:00","6","Нет","Нет","Нет","Да","Да","Левой","Скорпион"
"6","Мужчина","Чай","21","99","Нет","Зелёный","1","Да","Жаворонок","6:30","8","Нет","Да","Нет","Нет","Нет","Правой","Овен"
"7","Мужчина","Чай","22","50","Нет","Голубой","70","Да","Сова","10:00","6","Нет","Нет","Нет","Нет","Нет","Правой","Рыбы"
"8","Мужчина","Чай","22","80","Нет","Голубой","45","Да","Сова","7:00","7","Да","Нет","Да","Нет","Да","Правой","Водолей"
"9","Мужчина","Кофе","22","50","Нет","Коричневый ","70","Нет","Сова","0:00","8","Да","Да","Нет","Да","Нет","Левой","Дева"
"10","Мужчина","Чай","21","70","Да","Зеленый","100","Нет","Сова","0:30","6","Нет","Нет","Нет","Да","Нет","Правой","Водолей"
"11","Мужчина","Кофе","21","99","Нет","Голубой","70","Да","Сова","9:30","8","Да","Да","Нет","Нет","Нет","Правой","Стрелец"
"12","Мужчина","Чай","22","80","Да","Карий","10","Да","Жаворонок","6:00","7","Да","Да","Нет","Нет","Нет","Правой","Рак"
"13","Мужчина","Чай","22","65","Нет","Болотный","40","Да","Жаворонок","10:25","9","Да","Нет","Нет","Нет","Нет","Правой","Овен"
"14","Мужчина","Кофе","21","60","Да","Серо-зеленый","70","Нет","Сова","10:00","7","Нет","Да","Нет","Да","Нет","Правой","Козерог"
"15","Мужчина","Чай","21","10","Да","Карий","90","Да","Сова","7:30","8","Нет","Нет","Да","Да","Да","Правой","Скорпион"
"16","Женщина","Кофе","21","52","Нет","Голубой","66","Да","Сова","10:30","7","Да","Нет","Нет","Да","Нет","Правой","Скорпион"
"17","Женщина","Кофе","21","82","Да","Серый","99","Нет","Сова","6:00","5","Нет","Да","Да","Нет","Да","Правой","Овен"
"18","Женщина","Кофе","21","100","Нет","Серо-зеленый","70","Нет","Сова","6:00","7","Да","Нет","Да","Нет","Нет","Правой","Стрелец"
"19","Мужчина","Чай","21","50","Нет","Серый","10","Да","Сова","10:20","8","Нет","Нет","Нет","Да","Нет","Левой","Весы"
"20","Женщина","Чай","22","70","Нет","Голубой ","30","Нет","Жаворонок","9:00","7","Да","Нет","Нет","Да","Нет","Правой","Лев"
"21","Мужчина","Чай","22","80","Нет","Синий","60","Да","Сова","8:43","8","Нет","Нет","Да","Нет","Да","Правой","Овен"
"22","Мужчина","Чай","22","80","Да","Карий","60","Нет","Жаворонок","8:00","8","Нет","Нет","Нет","Нет","Нет","Правой","Овен"
"23","Мужчина","Чай","22","81","Нет","Карий","100","Нет","Сова","0:10","6","Нет","Нет","Нет","Нет","Да","Правой","Рак"
"24","Мужчина","Чай","21","78","Нет","Зелёный","65","Нет","Сова","6:00","7","Да","Да","Да","Да","Нет","Правой","Весы"
"25","Мужчина","Кофе","22","70","Нет","Карий","70","Нет","Жаворонок","7:00","6","Да","Нет","Да","Нет","Нет","Правой","Рак"
"26","Женщина","Кофе","21","68","Нет","Зелёный","30","Да","Жаворонок","8:30","7","Нет","Нет","Да","Да","Нет","Правой","Весы"
"27","Мужчина","Чай","21","75","Нет","Синий","40","Да","Жаворонок","7:00","7","Нет","Нет","Нет","Нет","Нет","Правой","Козерог"
"28","Мужчина","Чай","23","25","Да","карий","90","Нет","Жаворонок","7:25","6","Да","Нет","Да","Нет","Нет","Правой","Рыбы"
"29","Мужчина","Чай","21","70","Нет","Серый","40","Да","Жаворонок","8:00","8","Нет","Да","Нет","Нет","Нет","Правой","Близнецы"
"30","Мужчина","Кофе","22","90","Нет","Зелёный","20","Да","Жаворонок","8:00","8","Да","Да","Да","Нет","Нет","Правой","Лев"
"31","Мужчина","Чай","21","80","Нет","Зелёный","30","Да","Жаворонок","8:00","8.5","Да","Да","Нет","Нет","Нет","Левой","Скорпион"
"32","Мужчина","Чай","22","70","Нет","Серый","35","Да","Жаворонок","8:00","8","Нет","Нет","Нет","Да","Да","Правой","Рыбы"
"33","Мужчина","Кофе","22","80","Да","Серо-голубой","707","Да","Сова","7:00","6","Да","Нет","Нет","Нет","Нет","Правой","Козерог"
"34","Мужчина","Чай","21","60","Да","Карий","80","Нет","Сова","0:00","6","Да","Нет","Нет","Да","Нет","Правой","рыбы"
"35","Мужчина","Чай","21","75","Нет","Зелёный","50","Да","Жаворонок","8:00","8","Да","Нет","Да","Да","Нет","Правой","Овен"
"36","Мужчина","Кофе","27","60","Да","Зелёный ","40","Нет","Сова","6:30","5","Да","Да","Да","Нет","Нет","Правой","Близнецы"
"37","Мужчина","Чай","21","65","Да","Зелёно-серо-голубой","75","Нет","Сова","10:15","5.5","Нет","Да","Нет","Да","Нет","Правой","Водолей"
"38","Мужчина","Чай","21","80","Нет","Такой же, как и правого","70","Да","Сова","10:00","10","Нет","Да","Нет","Нет","Да","Правой","Скорпион"
